epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,572.928,1.49361,2.80982,1.89942,0.26173,0.30105,0.25735,0.13274,1.74151,3.01812,2.53628,0.00041578,0.00041578,0.00041578
2,1124.12,1.50992,2.22547,1.90084,0.36761,0.33044,0.26371,0.12293,1.8611,2.71111,2.60454,0.000804976,0.000804976,0.000804976
3,1701.27,1.50167,2.01602,1.88371,0.42255,0.39705,0.36237,0.18457,1.74683,2.1828,2.53306,0.00116667,0.00116667,0.00116667
4,2270.72,1.44907,1.91452,1.85603,0.41434,0.3537,0.34397,0.1821,1.73671,2.129,2.4206,0.00112625,0.00112625,0.00112625
5,2884.3,1.43733,1.83093,1.84299,0.41551,0.43274,0.4285,0.22984,1.68397,1.75664,2.523,0.001085,0.001085,0.001085
6,3508.45,1.44158,1.72618,1.82126,0.59636,0.41259,0.41708,0.21801,1.66522,1.81234,2.41503,0.00104375,0.00104375,0.00104375
7,4097.31,1.41738,1.70709,1.80937,0.49961,0.49292,0.43845,0.2324,1.64082,1.66229,2.492,0.0010025,0.0010025,0.0010025
8,4670.18,1.38091,1.61368,1.78081,0.63219,0.41931,0.47003,0.2553,1.69152,1.57662,2.49057,0.00096125,0.00096125,0.00096125
9,5243.38,1.3812,1.5994,1.77264,0.69843,0.44537,0.5149,0.27889,1.60842,1.56527,2.30723,0.00092,0.00092,0.00092
10,5823.93,1.36097,1.52939,1.75927,0.56449,0.48864,0.50128,0.28416,1.61395,1.40762,2.36139,0.00087875,0.00087875,0.00087875
11,6406.42,1.36482,1.50876,1.75889,0.64866,0.45954,0.53613,0.30377,1.58102,1.48042,2.26055,0.0008375,0.0008375,0.0008375
12,6990.87,1.36456,1.50699,1.74072,0.59536,0.51013,0.51929,0.29041,1.5631,1.44913,2.28743,0.00079625,0.00079625,0.00079625
13,7652.67,1.33446,1.42473,1.72784,0.58118,0.5638,0.5673,0.33307,1.52459,1.30356,2.22083,0.000755,0.000755,0.000755
14,8242.48,1.32007,1.41706,1.70548,0.5735,0.52448,0.54511,0.31236,1.56637,1.38976,2.23401,0.00071375,0.00071375,0.00071375
15,8819.76,1.32113,1.38717,1.71764,0.70539,0.54568,0.58308,0.34227,1.50889,1.2761,2.16184,0.0006725,0.0006725,0.0006725
16,9410.28,1.2997,1.3361,1.70282,0.64302,0.54863,0.58024,0.32592,1.55329,1.33657,2.22298,0.00063125,0.00063125,0.00063125
17,10022.4,1.30119,1.35582,1.69434,0.71405,0.54764,0.57509,0.33961,1.49416,1.36018,2.21303,0.00059,0.00059,0.00059
18,10610.3,1.292,1.31423,1.67455,0.58961,0.55722,0.58071,0.32735,1.56827,1.31102,2.22661,0.00054875,0.00054875,0.00054875
19,11277.7,1.27048,1.28117,1.67208,0.71067,0.55373,0.59422,0.34746,1.50261,1.21638,2.18215,0.0005075,0.0005075,0.0005075
20,11971.6,1.28483,1.27538,1.6843,0.70153,0.52163,0.57134,0.32405,1.53479,1.21992,2.22852,0.00046625,0.00046625,0.00046625
21,12559.2,1.26995,1.26334,1.88428,0.61592,0.56778,0.57774,0.33963,1.47776,1.31498,2.20548,0.000425,0.000425,0.000425
22,13107.6,1.2276,1.17706,1.84587,0.70618,0.52534,0.59915,0.35182,1.492,1.23561,2.18635,0.00038375,0.00038375,0.00038375
23,13652.2,1.21997,1.14466,1.84851,0.81167,0.54285,0.62489,0.36865,1.45749,1.21298,2.15447,0.0003425,0.0003425,0.0003425
24,14193.9,1.21123,1.11406,1.83021,0.70387,0.5944,0.63407,0.36226,1.46297,1.15886,2.14293,0.00030125,0.00030125,0.00030125
25,14750.2,1.19442,1.07895,1.80618,0.6727,0.58342,0.6298,0.36999,1.41328,1.1736,2.12088,0.00026,0.00026,0.00026
26,15300.1,1.19952,1.05048,1.80516,0.59429,0.59424,0.62372,0.3736,1.43278,1.13501,2.0945,0.00021875,0.00021875,0.00021875
27,15849.5,1.15817,0.99769,1.77846,0.70666,0.56181,0.63013,0.37775,1.42497,1.11048,2.10494,0.0001775,0.0001775,0.0001775
28,16394.8,1.15794,0.98811,1.75634,0.67458,0.55045,0.60543,0.36616,1.43217,1.16082,2.12552,0.00013625,0.00013625,0.00013625
29,16933.6,1.16216,0.98365,1.78784,0.65067,0.59621,0.63857,0.3854,1.42122,1.10327,2.10208,9.5e-05,9.5e-05,9.5e-05
30,17477.3,1.12462,0.95171,1.74572,0.64584,0.59186,0.6377,0.3836,1.4188,1.08701,2.09029,5.375e-05,5.375e-05,5.375e-05
